YouTube ID,start seconds,end seconds,label,split
0T39A4knSu4,25000,33000,elephant trumpeting,decoder_train
0T39A4knSu4,57000,65000,elephant trumpeting,decoder_train
0T966F09Q_8,0,8000,playing oboe,decoder_train
0TuhcsOwEEs,64000,72000,skiing,decoder_train
0UJpeR9-ayg,213000,221000,playing bass guitar,decoder_train
0VW4nelMODc,259000,267000,lawn mowing,decoder_train
0VW4nelMODc,271000,279000,lawn mowing,decoder_train
0W1sNicXboU,60000,68000,hedge trimmer running,decoder_train
0WTf_N9NPDw,23000,31000,turkey gobbling,decoder_train
0Wkk9iNzA9c,30000,38000,dog growling,decoder_train
0Wxl_LzqguI,288000,296000,people battle cry,decoder_train
0XDEooC1h7s,0,8000,playing bassoon,decoder_train
0XFFOBzJ3aw,120000,128000,fire truck siren,decoder_train
0XSNrKgA94g,30000,38000,playing bongo,decoder_train
0XxinBtKouQ,30000,38000,people sneezing,decoder_train
0YIWrXgCjiM,30000,38000,playing theremin,decoder_train
0YI_WYJVv2M,30000,38000,playing theremin,decoder_train
0YTieIiZNN4,10000,18000,fireworks banging,decoder_train
0YiyCktu7bs,1000,9000,cat growling,decoder_train
0Z760XNy4VM,30000,38000,chinchilla barking,decoder_train
0ZxpQ87jdgQ,37000,45000,typing on typewriter,decoder_train
0_8-g2rof7E,49000,57000,playing electric guitar,decoder_train
0_9-dbUW0hU,30000,38000,playing electric guitar,decoder_train
0_B2YnBAz3A,220000,228000,playing electric guitar,decoder_train
0_FFqLukmHk,80000,88000,playing electric guitar,decoder_train
0_O6nVfnCH8,210000,218000,playing electric guitar,decoder_train
0a264PE9qEY,24000,32000,bouncing on trampoline,decoder_train
0aaLWD7TUSU,30000,38000,lions roaring,decoder_train
0bBJkY4_zs8,33000,41000,"female speech, woman speaking",decoder_train
0bKpv6YBl7g,50000,58000,tap dancing,decoder_train
0c78GAZ0jLY,5000,13000,male singing,decoder_train
0cNYPgD6cEA,30000,38000,playing electric guitar,decoder_train
0d6YdyxkXzQ,815000,823000,church bell ringing,decoder_train
0dC1f6bdyr4,142000,150000,male singing,decoder_train
0dC6Ay0oqWk,30000,38000,male singing,decoder_train
0dUL0EweBEY,387000,395000,woodpecker pecking tree,decoder_train
0dUL0EweBEY,423000,431000,woodpecker pecking tree,decoder_train
0dd6AlyOnfc,30000,38000,people giggling,decoder_train
0eDN0YmnJRY,2000,10000,shot football,decoder_train
0eTrzI5-ong,30000,38000,machine gun shooting,decoder_train
0eZHWqzsRqU,5000,13000,playing timbales,decoder_train
0foC-4n-eH0,0,8000,people shuffling,decoder_train
0fqtA_ZBn_8,30000,38000,people shuffling,decoder_train
0fsFWLev-q4,257000,265000,opening or closing car doors,decoder_train
0g4SlqjORM4,80000,88000,male singing,decoder_train
0g_-KI5NZ-E,30000,38000,cat meowing,decoder_train
0glBUluF4Yk,175000,183000,gibbon howling,decoder_train
0hOD_iIeePk,30000,38000,lawn mowing,decoder_train
0hWIKYNSEPE,80000,88000,basketball bounce,decoder_train
0he6VV5Y9Bg,30000,38000,sea waves,decoder_train
0hfU27A6tus,70000,78000,dog growling,decoder_train
0hjqlmdPT6g,50000,58000,playing bass guitar,decoder_train
0iX0QmnbrK4,85000,93000,playing flute,decoder_train
0iiwZ2_9Vi8,90000,98000,playing bass guitar,decoder_train
0izHOfrwPn4,180000,188000,church bell ringing,decoder_train
0jiu0RNizU8,160000,168000,"playing violin, fiddle",decoder_train
0ju5RWqEwGQ,108000,116000,bouncing on trampoline,decoder_train
0ju5RWqEwGQ,33000,41000,bouncing on trampoline,decoder_train
0jy-sVREk4o,30000,38000,people belly laughing,decoder_train
0kK-PnupAow,86000,94000,shot football,decoder_train
0kqQNBR09Rc,90000,98000,shot football,decoder_train
0loP4WNnL2k,0,8000,playing bassoon,decoder_train
0m9-5BkL4Mc,30000,38000,playing electric guitar,decoder_train
0mNvPaqfwUI,220000,228000,people whispering,decoder_train
0mZQ6Q-viPw,10000,18000,rope skipping,decoder_train
0n56ajMNoMA,118000,126000,dog bow-wow,decoder_train
0nYltlo90Zc,147000,155000,skidding,decoder_train
0nYltlo90Zc,161000,169000,skidding,decoder_train
0nib7bMm8BA,15000,23000,lions roaring,decoder_train
0nvBTp-q7tU,112000,120000,people marching,decoder_train
0olhNr566Z0,18000,26000,male singing,decoder_train
0onKcFY1Tu0,2000,10000,pheasant crowing,decoder_train
0pHTgC1Frnw,350000,358000,air horn,decoder_train
0q6GOUn_dhU,66000,74000,playing trombone,decoder_train
0q9FUj_2qMc,539000,547000,crow cawing,decoder_train
0s62qg0kfJE,13000,21000,male singing,decoder_train
0sT6vnChbrc,0,8000,playing cornet,decoder_train
0slFEpnTKkY,115000,123000,people running,decoder_train
0ssOpzqkojU,30000,38000,playing cornet,decoder_train
0t1jQa_Lj_E,130000,138000,playing volleyball,decoder_train
0u5dddSWuj8,30000,38000,toilet flushing,decoder_train
0uMEyyhzaqU,34000,42000,fire truck siren,decoder_train
0unbxXUE_c0,114000,122000,fire truck siren,decoder_train
0ut4if4B6zM,56000,64000,playing bass guitar,decoder_train
0vFPs6XsU_Q,30000,38000,playing banjo,decoder_train
0vg9qxNKXOw,30000,38000,playing banjo,decoder_train
0w7pCxwXzVc,120000,128000,hedge trimmer running,decoder_train
0w9PLY1owzk,108000,116000,hedge trimmer running,decoder_train
0welW-8hB1c,71000,79000,playing electric guitar,decoder_train
0wzsE67O5tE,230000,238000,airplane flyby,decoder_train
0x9TnOQ5Nhw,20000,28000,"pigeon, dove cooing",decoder_train
0xDlT_u31fg,30000,38000,fire truck siren,decoder_train
0yxJzCQW5zI,30000,38000,people whispering,decoder_train
1-feQHDL-Qo,30000,38000,dog bow-wow,decoder_train
14tRPoQA4q0,4000,12000,playing mandolin,decoder_train
15aMq3FEyjQ,26000,34000,playing mandolin,decoder_train
1B-RuZgSqf8,30000,38000,skidding,decoder_train
1BivKH8w7Fo,37000,45000,playing badminton,decoder_train
1BivKH8w7Fo,82000,90000,playing badminton,decoder_train
1Bv79-2FK-g,140000,148000,volcano explosion,decoder_train
1CGx8zxQFx4,70000,78000,playing cymbal,decoder_train
1CIh0UNxXrI,50000,58000,singing choir,decoder_train
1CZ-bybGzu4,30000,38000,playing hammond organ,decoder_train
1D4LxbOVn1I,30000,38000,lions roaring,decoder_train
1D6UsaTflJ8,60000,68000,car passing by,decoder_train
1DDBWHBebR4,50000,58000,"playing marimba, xylophone",decoder_train
1DJYkemV_0I,101000,109000,hedge trimmer running,decoder_train
1De-OI8YG-M,7000,15000,playing acoustic guitar,decoder_train
1DlGh4su-Ms,25000,33000,hedge trimmer running,decoder_train
1DrrBnFlylU,0,8000,people gargling,decoder_train
1EH6atYydBc,90000,98000,fireworks banging,decoder_train
1ENC2smc8Ig,30000,38000,male singing,decoder_train
1EWkwWXwI1g,210000,218000,"race car, auto racing",decoder_train
1EuGaYmvlXM,170000,178000,dog howling,decoder_train
1F23RciUwDE,30000,38000,shot football,decoder_train
1F3_bvIT0ig,0,8000,shot football,decoder_train
1F9zCsJyw6k,230000,238000,rapping,decoder_train
1FWUnWVX5Xk,159000,167000,cat hissing,decoder_train
1G6wtnmdZhE,30000,38000,stream burbling,decoder_train
1GDAnA4hAqQ,105000,113000,pig oinking,decoder_train
1GI75yXlrTk,29000,37000,"female speech, woman speaking",decoder_train
1GyO48dbGCI,0,8000,waterfall burbling,decoder_train
1Isq_KJHriU,16000,24000,people clapping,decoder_train
1JSbmO1NQzk,130000,138000,horse clip-clop,decoder_train
1JY4rwQZn3s,11000,19000,helicopter,decoder_train
1J_j6c2uQaM,30000,38000,chicken crowing,decoder_train
1JfwuwHV0hc,212000,220000,playing banjo,decoder_train
1Jo_WQrPc1Q,140000,148000,people eating apple,decoder_train
1KLmIS-v60U,10000,18000,playing cornet,decoder_train
1KiFXylkPpg,10000,18000,hammering nails,decoder_train
1KpqiBhyP7Q,8000,16000,playing saxophone,decoder_train
1LA8BxMlXSY,80000,88000,playing bassoon,decoder_train
1LPIxPA6-O8,261000,269000,playing french horn,decoder_train
1LTxZ2aNytc,30000,38000,playing double bass,decoder_train
1MTKUN3uFrs,440000,448000,people screaming,decoder_train
1MaEJRh2oGY,34000,42000,playing acoustic guitar,decoder_train
1MaEJRh2oGY,89000,97000,playing acoustic guitar,decoder_train
1MgcrYdYas0,30000,38000,fireworks banging,decoder_train
1NV87x_JYnQ,368000,376000,child singing,decoder_train
1Ny5ZlcBlcQ,30000,38000,playing oboe,decoder_train
1O-WeYTRS4w,370000,378000,frog croaking,decoder_train
1ON1iLkUPp8,40000,48000,bowling impact,decoder_train
1OpNI5DjxC0,30000,38000,playing snare drum,decoder_train
1P9yEzO1Bic,25000,33000,dog howling,decoder_train
1PAb2MoavDc,210000,218000,dog howling,decoder_train
1PPboJuO1Ks,21000,29000,running electric fan,decoder_train
1QBsc_IXg8U,750000,758000,"rowboat, canoe, kayak rowing",decoder_train
1QtsF8qkX1Y,70000,78000,playing tabla,decoder_train
1RAcDEFEszA,93000,101000,orchestra,decoder_train
1RfdLnNRLfA,149000,157000,pig oinking,decoder_train
1RhYdQnZ_hw,30000,38000,"female speech, woman speaking",decoder_train
1RwhRTe-OKk,30000,38000,playing bass guitar,decoder_train
1SBP-Dy8_II,119000,127000,skiing,decoder_train
1SPu2hsIhDw,167000,175000,playing shofar,decoder_train
1TAOyk0Xgss,370000,378000,female singing,decoder_train
1TJrceFMGrU,114000,122000,cat meowing,decoder_train
1TP8JyI5vHI,30000,38000,car engine knocking,decoder_train
1Tg9VvRZN5k,30000,38000,playing electronic organ,decoder_train
1Uj_ulATth0,360000,368000,playing table tennis,decoder_train
1Vt6qYw1BnQ,2000,10000,stream burbling,decoder_train
1W9fwoe4O-M,117000,125000,playing bass guitar,decoder_train
1WI9921OeRc,570000,578000,"female speech, woman speaking",decoder_train
1WLMVX_Y2Pk,18000,26000,sliding door,decoder_train
1WLMVX_Y2Pk,213000,221000,sliding door,decoder_train
1XO0SqsZhHU,30000,38000,"playing marimba, xylophone",decoder_train
1XZyIaJT8Lw,106000,114000,snake hissing,decoder_train
1Xmw9VUzvLY,150000,158000,"playing marimba, xylophone",decoder_train
1YFa9CpH7Kc,180000,188000,people crowd,decoder_train
1ZXe1qg_xeg,125000,133000,playing mandolin,decoder_train
1ZgXgyEJSbc,390000,398000,people booing,decoder_train
1ZwVoNUvaAE,0,8000,playing mandolin,decoder_train
1_0T2ZIjWnw,31000,39000,typing on typewriter,decoder_train
1_JeO9Pg1aQ,20000,28000,typing on typewriter,decoder_train
1_Yd3NwpP7M,210000,218000,typing on typewriter,decoder_train
1_v-Kro86Io,10000,18000,typing on typewriter,decoder_train
1_yyvTRVoZQ,2000,10000,typing on typewriter,decoder_train
1_yyvTRVoZQ,209000,217000,typing on typewriter,decoder_train
1a-ODBWMUAE,30000,38000,waterfall burbling,decoder_train
1aDnyPubxdY,118000,126000,baby crying,decoder_train
1aexyJH0jU8,2000,10000,people shuffling,decoder_train
1bIH_Qh_clk,30000,38000,frog croaking,decoder_train
1bSLrOlRIB4,50000,58000,playing tambourine,decoder_train
1bbyaXEVouE,30000,38000,parrot talking,decoder_train
1cqcTbDxsHM,130000,138000,people crowd,decoder_train
1cwGW0cBdRs,30000,38000,playing theremin,decoder_train
1cwReJkXLVo,505000,513000,"race car, auto racing",decoder_train
1cxvg7qu0G0,70000,78000,lighting firecrackers,decoder_train
1dyFP4MGkIM,30000,38000,skidding,decoder_train
1e0_4dwF9A4,30000,38000,tractor digging,decoder_train
1eBzpkIY-TY,198000,206000,snake hissing,decoder_train
1eP5LSjyge0,220000,228000,playing squash,decoder_train
1f-s2gYqyh8,19000,27000,shot football,decoder_train
1fDGejVDAHU,0,8000,chainsawing trees,decoder_train
1g6sdWOc9k4,510000,518000,stream burbling,decoder_train
1gSwLBNvEWE,34000,42000,police car (siren),decoder_train
1gWu-9hPzFs,22000,30000,pheasant crowing,decoder_train
1garMoYilAY,30000,38000,playing cello,decoder_train
1hIg-Lsvc7Q,30000,38000,playing cymbal,decoder_train
1hJnxzlxnQs,30000,38000,"female speech, woman speaking",decoder_train
1hKSlZZ5T50,2000,10000,car passing by,decoder_train
1hWAOReJehw,140000,148000,horse clip-clop,decoder_train
1hba9jmspEQ,30000,38000,frog croaking,decoder_train
1hknEtsmdOc,30000,38000,car passing by,decoder_train
1hsOUPwn21E,83000,91000,cuckoo bird calling,decoder_train
1hwkxJOl1PY,20000,28000,lions roaring,decoder_train
1j13NdQiw8c,30000,38000,playing steelpan,decoder_train
1jHVyPknyhM,5000,13000,elephant trumpeting,decoder_train
1jq7zSF_v7s,140000,148000,opening or closing drawers,decoder_train
1k0R3npPdKI,252000,260000,eletric blender running,decoder_train
1kV-NUwWfSc,63000,71000,"playing marimba, xylophone",decoder_train
1kiR-BU9Fik,71000,79000,lip smacking,decoder_train
1lLobOtsIFA,30000,38000,waterfall burbling,decoder_train
1lMCacmGZ8I,52000,60000,playing bugle,decoder_train
1mGE3y19p9g,129000,137000,fireworks banging,decoder_train
1mMqLP36sCQ,245000,253000,police car (siren),decoder_train
1mMqLP36sCQ,70000,78000,police car (siren),decoder_train
1ma4b_TsEVA,320000,328000,playing acoustic guitar,decoder_train
1mfghenMj_E,10000,18000,"vehicle horn, car horn, honking",decoder_train
1n5uFGk2pnc,58000,66000,pumping water,decoder_train
1n6JyJt4kJ4,18000,26000,train horning,decoder_train
1nNXaI04SEg,30000,38000,people eating,decoder_train
1n_s2Gb5R1Q,30000,38000,writing on blackboard with chalk,decoder_train
1nbCJJtsruI,0,8000,"engine accelerating, revving, vroom",decoder_train
1oJAVJPX0YY,20000,28000,playing acoustic guitar,decoder_train
1obzCbmFpa8,410000,418000,playing tabla,decoder_train
1owKdIYYYeg,0,8000,ocean burbling,decoder_train
1pMMz2vm6JE,109000,117000,running electric fan,decoder_train
1pMMz2vm6JE,2000,10000,running electric fan,decoder_train
1q8kkQhS97g,140000,148000,playing cymbal,decoder_train
1qRi4bT_t3Q,398000,406000,snake hissing,decoder_train
1rJWW_KqeAw,30000,38000,playing snare drum,decoder_train
1roSKWxidVo,35000,43000,singing bowl,decoder_train
1rtXsGC-q3Q,30000,38000,singing bowl,decoder_train
1tC7bTilFWk,30000,38000,cat caterwauling,decoder_train
1tjJmArxVBM,30000,38000,cat meowing,decoder_train
1tn0MJTOprg,3000,11000,firing muskets,decoder_train
1tobDIRRV0A,30000,38000,crow cawing,decoder_train
1tz4xNRRR4M,10000,18000,playing vibraphone,decoder_train
1uCzQCdCC1U,170000,178000,"race car, auto racing",decoder_train
1uIfP9ipzxY,58000,66000,playing table tennis,decoder_train
1uLkSMHxvZY,440000,448000,male singing,decoder_train
1uhuVsFGe6E,50000,58000,playing electric guitar,decoder_train
1veIcvGPRYw,3000,11000,bowling impact,decoder_train
1vy-ZxTMQf4,377000,385000,people marching,decoder_train
1w_iLXQb-9Q,7000,15000,playing steelpan,decoder_train
1wdCX1HmRyk,140000,148000,cricket chirping,decoder_train
1wqJ9KDfcME,60000,68000,playing cymbal,decoder_train
1xS-iGBR2b8,14000,22000,"male speech, man speaking",decoder_train
1xZESfMpi9Q,156000,164000,snake hissing,decoder_train
1xhSBniwGbM,30000,38000,male singing,decoder_train
1y-PYHnpvZs,38000,46000,ferret dooking,decoder_train
1yWGmdevTuM,30000,38000,playing acoustic guitar,decoder_train
1yfwHkdCucc,42000,50000,people crowd,decoder_train
1yxij2nsbZw,0,8000,air conditioning noise,decoder_train
1z19uJK6SB0,76000,84000,playing djembe,decoder_train
1z96Z0DSNlM,4000,12000,people nose blowing,decoder_train
2-XyCIq8Yp0,50000,58000,"child speech, kid speaking",decoder_train
23xC7lTBikU,20000,28000,playing didgeridoo,decoder_train
24tWz7gmngI,30000,38000,typing on computer keyboard,decoder_train
26dqZUTv5os,175000,183000,duck quacking,decoder_train
28Ih0rDx-Y4,310000,318000,"railroad car, train wagon",decoder_train
2A63oYgod8Y,560000,568000,cap gun shooting,decoder_train
2ACsPTob5cY,118000,126000,snake rattling,decoder_train
2ACsPTob5cY,349000,357000,snake rattling,decoder_train
2ASyuuVhr6M,52000,60000,bowling impact,decoder_train
2BMOGrFU_m8,167000,175000,"fly, housefly buzzing",decoder_train
2BNSDDwGxM8,30000,38000,horse clip-clop,decoder_train
2BbBEozEiak,133000,141000,playing drum kit,decoder_train
2BbBEozEiak,186000,194000,playing drum kit,decoder_train
2Bljhdt61Y4,38000,46000,vacuum cleaner cleaning floors,decoder_train
2C4aXzGI2eI,415000,423000,playing djembe,decoder_train
2C7SzKv2uLU,41000,49000,female singing,decoder_train
2CEb1hYM3EA,240000,248000,people eating,decoder_train
2CIWnYMxFCw,29000,37000,air conditioning noise,decoder_train
2CidaVnd60g,0,8000,playing trumpet,decoder_train
2D0okq6-SBo,189000,197000,skiing,decoder_train
2DyD824KPFM,10000,18000,female singing,decoder_train
2E31rvMg-rE,542000,550000,bouncing on trampoline,decoder_train
2EaYSObne7M,369000,377000,"vehicle horn, car horn, honking",decoder_train
2FJWwHQcXBk,480000,488000,"railroad car, train wagon",decoder_train
2Fbt9QiLWWc,370000,378000,playing acoustic guitar,decoder_train
2FrXzcm4YMc,70000,78000,playing electric guitar,decoder_train
2FtVHJ91gDc,45000,53000,skateboarding,decoder_train
2FxRgLF37kw,215000,223000,people booing,decoder_train
2GGNgvdRcAs,60000,68000,sea waves,decoder_train
2GOPuGmcHH0,20000,28000,playing hammond organ,decoder_train
2GuH1UJxQOk,19000,27000,slot machine,decoder_train
2HZcxlRs-hg,30000,38000,hail,decoder_train
2Hj6ogt1TJo,80000,88000,child singing,decoder_train
2I0ns0crmrA,6000,14000,playing hammond organ,decoder_train
2IEoe3YvCJo,20000,28000,car passing by,decoder_train
2Ic1zm9mBjk,30000,38000,basketball bounce,decoder_train
2LRhkMH48_Q,30000,38000,toilet flushing,decoder_train
2MKPKDQcgVc,36000,44000,baby crying,decoder_train
2Oe5kao1ycY,310000,318000,sliding door,decoder_train
2P1uwGQfaPA,4000,12000,singing choir,decoder_train
2PHV2xNjGVU,126000,134000,ambulance siren,decoder_train
2QuZzkvq_YQ,0,8000,airplane flyby,decoder_train
2VuKP6zZDDc,510000,518000,helicopter,decoder_train
2Wk4Y3_dMuc,440000,448000,playing electric guitar,decoder_train
2XK3vXa-wgw,30000,38000,"cattle, bovinae cowbell",decoder_train
2ZogsGp-T4o,40000,48000,people clapping,decoder_train
2_RltCGlGOA,10000,18000,playing mandolin,decoder_train
2__T6Q8rCCA,80000,88000,playing mandolin,decoder_train
2_cTS4ctWtE,310000,318000,playing mandolin,decoder_train
2bCuw7U_Rac,390000,398000,female singing,decoder_train
2bYyywE97aA,30000,38000,frog croaking,decoder_train
2cEM6Hu90v0,38000,46000,people eating,decoder_train
2drXOn18U3Q,136000,144000,slot machine,decoder_train
2eDP3jKoUd4,30000,38000,rope skipping,decoder_train
2eWobSpugTw,17000,25000,chicken clucking,decoder_train
2ehbByOUJjM,16000,24000,francolin calling,decoder_train
2es7oZzwLWM,30000,38000,playing zither,decoder_train
2fi0m8ei_B4,30000,38000,sliding door,decoder_train
2g5hx_rynAI,35000,43000,playing shofar,decoder_train
2gvw16YDwMA,153000,161000,cat caterwauling,decoder_train
2gvw16YDwMA,43000,51000,cat caterwauling,decoder_train
2hNEs5VCQR8,106000,114000,playing trumpet,decoder_train
2i1Gs32odx4,410000,418000,playing tabla,decoder_train
2i4UNf8tjvU,30000,38000,wind rustling leaves,decoder_train
2iAO9PKZDGk,0,8000,church bell ringing,decoder_train
2k6_k7K_ixg,30000,38000,"bird chirping, tweeting",decoder_train
2kQCMxf0onU,36000,44000,dog growling,decoder_train
2o4-lEtFb2k,60000,68000,hair dryer drying,decoder_train
2ofK2gAQue4,180000,188000,"engine accelerating, revving, vroom",decoder_train
2pV6t7CO0Bc,230000,238000,"subway, metro, underground",decoder_train
2qO-OQtOBK0,30000,38000,playing bassoon,decoder_train
2xQuWif8axE,30000,38000,playing mandolin,decoder_train
2yumaMbGybU,10000,18000,playing bagpipes,decoder_train
2zSnJX82Uzc,60000,68000,playing congas,decoder_train
2zec0wuZgLE,500000,508000,skidding,decoder_train
31GOxPXDNkk,68000,76000,male singing,decoder_train
31O2j4aAgYU,30000,38000,mosquito buzzing,decoder_train
36ToDxW_hns,90000,98000,lawn mowing,decoder_train
3FHOJZpzHIU,80000,88000,mouse clicking,decoder_train
3O7CzEL0pXA,421000,429000,chimpanzee pant-hooting,decoder_train
3U99MpJ22ck,50000,58000,playing banjo,decoder_train
3_A0AP3Xh9s,290000,298000,"playing marimba, xylophone",decoder_train
3iXaH6Dmacs,155000,163000,helicopter,decoder_train
3t6pqBKV0kY,30000,38000,"motorboat, speedboat acceleration",decoder_train
3tbFP_JKzXw,30000,38000,playing accordion,decoder_train
3vLc6D64xcs,330000,338000,using sewing machines,decoder_train
3zIQTDfS4Hk,30000,38000,playing steelpan,decoder_train
3zRatdumh0M,90000,98000,playing trumpet,decoder_train
421CRF4HFlA,140000,148000,playing harpsichord,decoder_train
42CPymJ_MXI,60000,68000,people crowd,decoder_train
42QgE4mM55I,30000,38000,male singing,decoder_train
4ByUnyBjmSs,80000,88000,vacuum cleaner cleaning floors,decoder_train
4MRzQbAIyV4,90000,98000,playing electric guitar,decoder_train
4MTFkHIgWwg,71000,79000,cat meowing,decoder_train
4Q1DDOpej1o,0,8000,playing acoustic guitar,decoder_train
4QmXsg-lZQw,165000,173000,"male speech, man speaking",decoder_train
4TshFWSsrn8,290000,298000,people screaming,decoder_train
4h550TCCd9w,153000,161000,playing harmonica,decoder_train
4qLAn6_xfCY,430000,438000,"male speech, man speaking",decoder_train
4qaiLMEce6Y,25000,33000,skateboarding,decoder_train
4tOFGK47I5E,5000,13000,raining,decoder_train
51NV5b5e5As,50000,58000,people whistling,decoder_train
51hZovioExg,17000,25000,cat growling,decoder_train
570I4k7PIAQ,23000,31000,"cattle, bovinae cowbell",decoder_train
573QotnRHDY,30000,38000,playing zither,decoder_train
5A0sMC5olxI,380000,388000,"playing violin, fiddle",decoder_train
5B7d8e42ODw,30000,38000,wind rustling leaves,decoder_train
5HQ0rDexH84,184000,192000,chainsawing trees,decoder_train
5JHMkSN2rdc,89000,97000,black capped chickadee calling,decoder_train
5MMIZJ0zCZk,30000,38000,crow cawing,decoder_train
5j-4OJ7XpDM,222000,230000,sharpen knife,decoder_train
5wC1sG4US3Y,205000,213000,playing bass drum,decoder_train
5xVe-bGbbYA,45000,53000,people sniggering,decoder_train
6-yQsEH2WYA,30000,38000,driving buses,decoder_train
68hapDEQEj0,480000,488000,elk bugling,decoder_train
6BXR7JlTiBQ,9000,17000,"pigeon, dove cooing",decoder_train
6EIgJvYx4AE,551000,559000,male singing,decoder_train
6GDtb6DWKdE,103000,111000,slot machine,decoder_train
6UY-HKyolKk,30000,38000,dog bow-wow,decoder_train
6WPEPztf3Qw,410000,418000,scuba diving,decoder_train
6Y8bKS6KLeE,30000,38000,pig oinking,decoder_train
